x  , en    , gu    , bn    , mr    , pa
en , 0     , 24.05 , 15.17 , 15.72 , 22.26
gu , 29.91 , 0     , 0     , 0     , 0
bn , 23.12 , 0     , 0     , 0     , 0
mr , 27.14 , 0     , 0     , 0     , 0
pa , 31.33 , 0     , 0     , 0     , 0
