x  , en    , gu    , bn    , mr    , pa
en , 0     , 20.63 , 16.51 , 15.05 , 21.76
gu , 28.62 , 0     , 0     , 0     , 0
bn , 22.71 , 0     , 0     , 0     , 0
mr , 26.90 , 0     , 0     , 0     , 0
pa , 29.46 , 0     , 0     , 0     , 0
