,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,15.79,13.28,20.19,5.31,10.05,11.39,4.31,4.04,17.91
en,8.19,,11.8,16.44,5.09,9.3,8.54,4.44,4.39,17.98
gu,12.36,20.98,,42.81,6.87,15.99,14.4,5.6,5.44,36.03
hi,13.22,21.23,33.97,,7.26,17.18,15.18,5.87,6.15,42.12
ml,8.15,15.87,11.74,18.64,,9.53,9.52,5.0,4.97,16.47
mr,10.33,17.18,18.35,25.21,6.49,,12.05,5.04,4.72,22.08
or,12.2,17.69,17.37,25.87,5.2,12.53,,4.95,4.16,22.02
ta,7.34,14.51,10.0,16.34,5.34,8.23,8.83,,3.99,15.02
te,7.17,10.47,9.84,15.76,5.42,8.08,8.26,4.58,,9.74
ur,10.47,21.31,25.69,45.51,6.34,13.27,10.34,4.23,5.56,
